"Var1","Var2","value"
"허준석","배성우",1
"백윤식","배성우",1
"박정민","배성우",1
"김상호","배성우",1
"김대명","배성우",1
"손영순","배성우",1
"주진모-1","배성우",1
"조정석","배성우",1
"허성태","배성우",1
"박신혜","배성우",1
"이동휘","배성우",1
"박소담","배성우",1
"류준열","배성우",1
"유하준","배성우",1
"류태호","배성우",1
"차태현","배성우",1
"김보연","배성우",1
"진경","배성우",1
"오달수","배성우",1
"김홍파","배성우",1
"김민재","배성우",1
"정재영","배성우",1
"김경애","배성우",1
"김종구","배성우",1
"김병옥","배성우",1
"조승우","배성우",1
"조재윤","배성우",1
"이준혁","배성우",1
"유해진","배성우",1
"박성웅","배성우",1
"윤다경","배성우",1
"박혁권","배성우",1
"오대환","배성우",1
"박병은","배성우",1
"예수정","배성우",1
"장광","배성우",1
"송영창","배성우",1
"남일우","배성우",1
"고아성","배성우",1
"정만식","배성우",1
"조달환","배성우",1
"박진우","배성우",1
"한수연","배성우",1
"류현경","배성우",1
"라미란","배성우",1
"고수","배성우",1
"배성우","엄태구",1
"박종환","엄태구",1
"송강호","엄태구",1
"권해효","엄태구",1
"유해진","엄태구",1
"박혁권","엄태구",1
"길해연","엄태구",1
"곽인준","엄태구",1
"장광","엄태구",1
"박혜진","장유",1
"김기천","장유",1
"전국환","장유",1
"윤다경","장유",1
"조석현","장유",1
"정유미","장유",1
"조우진","진선규",1
"이경영","진선규",1
"허성태","진선규",1
"문소리","진선규",1
"김윤석","진선규",1
"박병은","진선규",1
"김태우","서영화",1
"문성근","서영화",1
"안재홍","서영화",1
"유준상","서영화",1
"조덕제","서영화",1
"정재영","서영화",1
"김민희","서영화",1
"이준혁","서영화",1
"신동미","서영화",1
"윤여정","서영화",1
"기주봉","서영화",1
"정유미","서영화",1
"전국환","배호근",1
"정인기","배호근",1
"문정희","엄지성",1
"박사랑","엄지성",1
"최진호","엄지성",1
"김원해","엄지성",1
"주진모-1","엄지성",1
"전국환","엄지성",1
"민경진","엄지성",1
"김재록","엄지성",1
"고규필","엄지성",1
"마동석","엄지성",1
"장영남","엄지성",1
"조한철","엄지성",1
"손현주","엄지성",1
"정석용","엄지성",1
"한수연","이환",1
"이경영","김무열",1
"박희순","김무열",1
"박해일","김무열",1
"정우","강하늘",1
"이승준","조하석",1
"김구택","조하석",1
"박노식","조하석",1
"이재구","조하석",1
"문영동","조하석",1
"류승룡","조하석",1
"장유","박혜진",1
"나문희","박혜진",1
"정유미","박혜진",1
"엄지성","최진호",1
"지대한","최진호",1
"최병모","최진호",1
"예수정","최진호",1
"심형래","서평석",1
"이해룡","서평석",1
"유성","서평석",1
"윤일주","서평석",1
"오희찬","서평석",1
"주상호","서평석",1
"이인옥","서평석",1
"김경란","서평석",1
"박부양","서평석",1
"남정희","서평석",1
"나갑성","서평석",1
"장정국","서평석",1
"정영국","서평석",1
"조주미","서평석",1
"한명구","서평석",1
"박예숙","서평석",1
"박용팔","서평석",1
"남포동","서평석",1
"문미봉","서평석",1
"김갑수","김명곤",1
"안성기","김명곤",1
"이해룡","김명곤",1
"김일우","김명곤",1
"최종원","김명곤",1
"최동준","김명곤",1
"이혜영","김명곤",1
"이준혁","이설구",1
"오성태","이설구",1
"라미란","이설구",1
"김기방","황우슬혜",1
"이희준","조우진",1
"정원중","조우진",1
"김소진","조우진",1
"배성우","조우진",1
"진선규","조우진",1
"이엘","조우진",1
"김의성","조우진",1
"이병헌","조우진",1
"장동건","조우진",1
"성동일","조우진",1
"이경영","조우진",1
"정우성","조우진",1
"백윤식","조우진",1
"김대명","조우진",1
"허성태","조우진",1
"이동휘","조우진",1
"류준열","조우진",1
"김홍파","조우진",1
"박희순","조우진",1
"김병옥","조우진",1
"조승우","조우진",1
"조재윤","조우진",1
"유해진","조우진",1
"김윤석","조우진",1
"이성민","조우진",1
"엄정화","조우진",1
"오대환","조우진",1
"송영창","조우진",1
"유재명","조우진",1
"남일우","조우진",1
"정만식","조우진",1
"김종수","조우진",1
"박진우","조우진",1
"서태화","이승연",1
"박희본","이승연",1
"성유빈","이제훈",1
"김기천","이제훈",1
"조진웅","이제훈",1
"이준혁","이제훈",1
"정인기","이제훈",1
"곽도원","이제훈",1
"박병은","이제훈",1
"김태훈","이제훈",1
"류승룡","이광수",1
"천우희","유연석",1
"배성우","유연석",1
"이경영","유연석",1
"박신혜","유연석",1
"김수안","유연석",1
"장영남","유연석",1
"한효주","유연석",1
"조달환","유연석",1
"류현경","유연석",1
"이경영","강진아",1
"오창경","강진아",1
"정영기","강진아",1
"박명신","이주승",1
"정영기","이주승",1
"이은우","이승준",1
"권율","이승준",1
"조하석","이승준",1
"이경영","이승준",1
"김구택","이승준",1
"김강우","이승준",1
"조복래","이승준",1
"김수안","이승준",1
"박노식","이승준",1
"한이진","이승준",1
"박수영","이승준",1
"박길수","이승준",1
"이재구","이승준",1
"조진웅","이승준",1
"문영동","이승준",1
"박해일","이승준",1
"류승룡","이승준",1
"김태훈","이승준",1
"이해영","이승준",1
"류현경","이승준",1
"전배수","이승준",1
"민복기","소비아",1
"신성하","소비아",1
"강신철","박종환",1
"엄태구","박종환",1
